domain,domain_start,domain_end,optimal_youden_index,assay_source,metric,metric_std,optimal_youden_index_std,num_positive,num_negative,model
TM2,72,102,24.8,MC4R,0.5064951425192847,0.024666739765330417,23.177575369309018,532.0,57.0,LOF_10%
TM3,110,140,78.6,MC4R,0.5531178649145608,0.02925090599052916,29.390474647409153,502.0,87.0,LOF_10%
TM4,150,175,98.0,MC4R,0.4590107413856894,0.0416715443245667,56.97367813297645,405.0,89.0,LOF_10%
TM5,200,230,51.4,MC4R,0.5645389833386346,0.046209326209665766,23.638950907347812,532.0,57.0,LOF_10%
TM6,240,270,50.4,MC4R,0.49793626027532234,0.035758205019534785,29.441467354736243,538.0,51.0,LOF_10%
TM7,280,305,65.8,MC4R,0.5032061027136605,0.04448002630455242,39.66358531449218,409.0,83.0,LOF_10%
C-tail,306,332,42.2,MC4R,0.5175855537021474,0.058353022710981126,11.099549540409287,478.0,35.0,LOF_20%
ECD,1,35,21.2,MC4R,0.46783188294116657,0.04503049996396041,28.481572990268635,622.0,39.0,LOF_20%
ECL2,141,149,43.0,MC4R,0.5313704365300882,0.04124847542163447,31.20897306865447,106.0,65.0,LOF_20%
ECL3,231,239,7.2,MC4R,0.5199209803545847,0.05642726854627373,2.280350850198276,165.0,6.0,LOF_20%
ICL1,66,71,8.8,MC4R,0.5419167788733006,0.10274613232809608,2.6832815729997477,92.0,22.0,LOF_20%
ICL2,103,109,12.0,MC4R,0.47298103856927387,0.04158315217400702,3.464101615137755,120.0,13.0,LOF_20%
ICL3,176,199,129.0,MC4R,0.4889597067948689,0.026315989800244688,32.55764119219941,341.0,115.0,LOF_20%
ICL4,271,279,16.2,MC4R,0.5004642193203201,0.07066031375947295,10.059821071967434,145.0,26.0,LOF_20%
TM1,36,65,109.2,MC4R,0.5024514130449184,0.045635744409806105,57.12004901958681,457.0,113.0,LOF_20%
TM2,72,102,64.8,MC4R,0.5116697905227859,0.023742072140692072,59.3397000329459,462.0,127.0,LOF_20%
TM3,110,140,120.6,MC4R,0.5481679065349565,0.02448329957875686,51.007842534261336,442.0,147.0,LOF_20%
TM4,150,175,124.8,MC4R,0.4900435686946059,0.03111536051735204,70.62011045021099,333.0,161.0,LOF_20%
TM5,200,230,118.0,MC4R,0.5428560377602694,0.026044170031475296,32.91656118126558,462.0,127.0,LOF_20%
TM6,240,270,66.4,MC4R,0.5145961419063775,0.03636178178135217,35.87199464763564,475.0,114.0,LOF_20%
TM7,280,305,141.0,MC4R,0.5011409145518034,0.03622316902102493,62.64982043070834,341.0,151.0,LOF_20%
C‑terminal tail,301,465,520.4,HXK4,0.5547929073337892,0.0269546213274466,153.04672489145267,794.0,1352.0,GOF/LOF
Hinge 1,65,72,20.6,HXK4,0.5291926103318507,0.07145832332243786,10.573551910309043,80.0,37.0,GOF/LOF
Hinge 2,181,200,38.6,HXK4,0.6166253383889406,0.0301449691763223,8.44393273303382,39.0,287.0,GOF/LOF
Large domain (C‑lobe),201,300,228.4,HXK4,0.5153042940705331,0.020110820846632932,186.9125463953664,417.0,1066.0,GOF/LOF
