dataset
ADRB2
AICDA
BRCA1
BRCA2
CALM1
CAR11
CASP3
CASP7
CBS
GDIA
GRB2
HEM3
HMDH
HXK4
KCNE1
KCNH2
MET
MK01
MSH2
MTHR
NPC1
OTC
P53
PAI1
PPARG
PPM1D
PTEN
RAF1
RASH
S22A1
SC6A4
SCN5A
SERC
SHOC2
SRC
SUMO1
SYUA
TADBP
TPK1
TPOR
UBC9
VKOR1
brenan
cas12f
cov2_S
doud
giacomelli
haddox
jones
kelsic
lee
markin
stiffler
zikv_E
